Name,Club,Position,Overall,Shooting,Passing,Dribbling,Defending,Finishing
Kylian Mbappé,Paris SG,ST,91,90,80,93,36,94
Erling Haaland,Manchester City,ST,91,93,66,79,45,96
Kevin De Bruyne,Manchester City,CM,91,88,94,86,65,85
Lionel Messi,Inter Miami CF,CF,90,87,90,96,33,89
Karim Benzema,Al Ittihad,CF,90,88,83,87,39,91
Harry Kane,FC Bayern München,ST,90,93,84,82,49,95
Robert Lewandowski,FC Barcelona,ST,90,91,80,86,44,93
Mohamed Salah,Liverpool,RW,89,87,81,88,45,92
Rúben Dias,Manchester City,CB,89,39,66,64,89,29
Vini Jr.,Real Madrid,LW,89,82,78,92,29,89
Rodri,Manchester City,CDM,89,73,80,79,85,64
Neymar Jr,Al Hilal,LW,89,83,85,95,37,83
Virgil van Dijk,Liverpool,CB,89,60,71,70,89,52
Casemiro,Manchester Utd,CDM,89,75,79,69,89,69
Bruno Fernandes,Manchester Utd,CAM,88,86,90,81,69,83
Antoine Griezmann,Atlético de Madrid,ST,88,88,87,88,58,90
Victor Osimhen,Napoli FC,ST,88,86,66,83,42,91
Bernardo Silva,Manchester City,CM,88,78,86,92,70,78
Federico Valverde,Real Madrid,CM,88,82,84,83,80,79
Joshua Kimmich,FC Bayern München,CDM,88,74,88,82,82,68
Luka Modrić,Real Madrid,CM,87,76,89,84,72,72
Frenkie de Jong,FC Barcelona,CM,87,69,86,87,77,72
Lautaro Martínez,Inter,ST,87,86,71,84,48,90
Martin Ødegaard,Arsenal,CAM,87,81,88,86,61,82
Marquinhos,Paris SG,CB,87,56,75,69,89,59
Heung Min Son,Spurs,LW,87,88,80,87,42,89
Ousmane Dembélé,Paris SG,RW,86,77,81,89,36,75
Bukayo Saka,Arsenal,RW,86,81,79,89,60,83
Jude Bellingham,Real Madrid,CM,86,75,79,86,78,77
Rafael Leão,Milan,LW,86,80,75,89,27,84
Pedri,FC Barcelona,CM,86,69,82,87,70,72
Matthijs de Ligt,FC Bayern München,CB,86,61,64,65,85,50
Sandro Tonali,Newcastle Utd,CDM,86,74,81,78,82,69
Riyad Mahrez,Al Ahli,RM,86,81,81,89,38,81
Jamal Musiala,FC Bayern München,CAM,86,75,76,94,63,79
Nicolò Barella,Inter,CM,86,78,82,81,78,78
Ronald Araujo,FC Barcelona,CB,86,51,65,55,86,56
Paulo Dybala,Roma FC,CF,86,85,85,90,40,83
İlkay Gündoğan,FC Barcelona,CM,86,81,84,86,72,82
Sergej Milinković-Savić,Al Hilal,CM,86,80,82,85,79,82
Khvicha Kvaratskhelia,Napoli FC,LW,86,80,81,89,41,82
Andrew Robertson,Liverpool,LB,86,61,82,81,81,55
Parejo,Villarreal CF,CM,86,83,90,81,73,83
Sadio Mané,Al Nassr,CF,86,83,79,87,44,85
Toni Kroos,Real Madrid,CM,86,80,90,80,70,76
Éder Militão,Real Madrid,CB,86,50,69,70,86,48
Christopher Nkunku,Chelsea,CF,86,81,83,89,62,86
