Name,Nation,Club,Position,Age,Overall,Shooting,Passing,Dribbling,Defending,Finishing


Kylian Mbappé,France,Paris SG,        ST,24,91,90,80,93,36,94
Erling Haaland,Norway,Manchester City,ST,23,91,93,66,79,45,96


Kevin De Bruyne,Belgium,Manchester City,CM,32,91,88,94,86,65,85
Lionel Messi,Argentina,Inter Miami CF,CF,36,90,87,90,96,33,89
Karim Benzema,France,Al Ittihad,CF,35,90,88,83,87,39,91
Harry Kane,England,FC Bayern München,ST,30,90,93,84,82,49,95
Robert Lewandowski,Poland,FC Barcelona,ST,35,90,91,80,86,44,93
Mohamed Salah,Egypt,Liverpool,RW,31,89,87,81,88,45,92
Rúben Dias,Portugal,Manchester City,CB,26,89,39,66,64,89,29
Vini Jr.,Brazil,Real Madrid,LW,23,89,82,78,92,29,89
Rodri,Spain,Manchester City,CDM,27,89,73,80,79,85,64
Neymar Jr,Brazil,Al Hilal,LW,31,89,83,85,95,37,83
Virgil van Dijk,Holland,Liverpool,CB,32,89,60,71,70,89,52
Casemiro,Brazil,Manchester Utd,CDM,31,89,75,79,69,89,69
Bruno Fernandes,Portugal,Manchester Utd,CAM,29,88,86,90,81,69,83
Antoine Griezmann,France,Atlético de Madrid,ST,32,88,88,87,88,58,90
Victor Osimhen,Nigeria,Napoli FC,ST,24,88,86,66,83,42,91
Bernardo Silva,Portugal,Manchester City,CM,29,88,78,86,92,70,78
Federico Valverde,Uruguay,Real Madrid,CM,25,88,82,84,83,80,79
Joshua Kimmich,Germany,FC Bayern München,CDM,28,88,74,88,82,82,68
Luka Modrić,Croatia,Real Madrid,CM,38,87,76,89,84,72,72
Frenkie de Jong,Holland,FC Barcelona,CM,26,87,69,86,87,77,72
Lautaro Martínez,Argentina,Inter,ST,26,87,86,71,84,48,90
Martin Ødegaard,Norway,Arsenal,CAM,24,87,81,88,86,61,82
Marquinhos,Brazil,Paris SG,CB,29,87,56,75,69,89,59
Heung Min Son,Korea Republic,Spurs,LW,31,87,88,80,87,42,89
Ousmane Dembélé,France,Paris SG,RW,26,86,77,81,89,36,75
Bukayo Saka,England,Arsenal,RW,22,86,81,79,89,60,83
Jude Bellingham,England,Real Madrid,CM,20,86,75,79,86,78,77
Rafael Leão,Portugal,Milan,LW,24,86,80,75,89,27,84
Pedri,Spain,FC Barcelona,CM,20,86,69,82,87,70,72
Matthijs de Ligt,Holland,FC Bayern München,CB,24,86,61,64,65,85,50
Sandro Tonali,Italy,Newcastle Utd,CDM,23,86,74,81,78,82,69
Riyad Mahrez,Algeria,Al Ahli,RM,32,86,81,81,89,38,81
Jamal Musiala,Germany,FC Bayern München,CAM,20,86,75,76,94,63,79
Nicolò Barella,Italy,Inter,CM,26,86,78,82,81,78,78
Ronald Araujo,Uruguay,FC Barcelona,CB,24,86,51,65,55,86,56
Paulo Dybala,Argentina,Roma FC,CF,29,86,85,85,90,40,83
İlkay Gündoğan,Germany,FC Barcelona,CM,32,86,81,84,86,72,82
Sergej Milinković-Savić,Serbia,Al Hilal,CM,28,86,80,82,85,79,82
Khvicha Kvaratskhelia,Georgia,Napoli FC,LW,22,86,80,81,89,41,82
