Name,Nation,Position,Overall
Kylian Mbappé,France,ST,91
Erling Haaland,Norway,ST,91
Kevin De Bruyne,Belgium,CM,91
Lionel Messi,Argentina,CF,90
Karim Benzema,France,CF,90
Harry Kane,England,ST,90
Robert Lewandowski,Poland,ST,90
Mohamed Salah,Egypt,RW,89
Rúben Dias,Portugal,CB,89
Vini Jr.,Brazil,LW,89
Rodri,Spain,CDM,89
Neymar Jr,Brazil,LW,89
Virgil van Dijk,Holland,CB,89
Casemiro,Brazil,CDM,89
Bruno Fernandes,Portugal,CAM,88
Antoine Griezmann,France,ST,88
Victor Osimhen,Nigeria,ST,88
Bernardo Silva,Portugal,CM,88
Federico Valverde,Uruguay,CM,88
Joshua Kimmich,Germany,CDM,88
Luka Modrić,Croatia,CM,87
Frenkie de Jong,Holland,CM,87
Lautaro Martínez,Argentina,ST,87
Martin Ødegaard,Norway,CAM,87
Marquinhos,Brazil,CB,87
Heung Min Son,Korea Republic,LW,87
Ousmane Dembélé,France,RW,86
Bukayo Saka,England,RW,86
Jude Bellingham,England,CM,86
Rafael Leão,Portugal,LW,86
Pedri,Spain,CM,86
Matthijs de Ligt,Holland,CB,86
Sandro Tonali,Italy,CDM,86
Riyad Mahrez,Algeria,RM,86
Jamal Musiala,Germany,CAM,86
Nicolò Barella,Italy,CM,86
Ronald Araujo,Uruguay,CB,86
Paulo Dybala,Argentina,CF,86
İlkay Gündoğan,Germany,CM,86
Sergej Milinković-Savić,Serbia,CM,86
Khvicha Kvaratskhelia,Georgia,LW,86
Andrew Robertson,Scotland,LB,86
Parejo,Spain,CM,86
Sadio Mané,Senegal,CF,86
Toni Kroos,Germany,CM,86
Éder Militão,Brazil,CB,86
Christopher Nkunku,France,CF,86
N'Golo Kanté,France,CDM,86
João Cancelo,Portugal,LB,86
Cristiano Ronaldo,Portugal,ST,86
Trent Alexander-Arnold,England,RB,86
Jack Grealish,England,LW,85
Marcos Acuña,Argentina,LB,85
David Alaba,Austria,CB,85
Iago Aspas,Spain,ST,85
Alessandro Bastoni,Italy,CB,85
Domenico Berardi,Italy,RW,85
Hakan Çalhanoğlu,Turkey,CM,85
Kingsley Coman,France,LM,85
Giovanni Di Lorenzo,Italy,RB,85
Phil Foden,England,LW,85
Leon Goretzka,Germany,CM,85
Theo Hernández,France,LB,85
Ciro Immobile,Italy,ST,85
Jules Koundé,France,CB,85
Aymeric Laporte,Spain,CB,85
Thomas Partey,Ghana,CDM,85
Marcus Rashford,England,LW,85
Declan Rice,England,CDM,85
Antonio Rüdiger,Germany,CB,85
Rodrygo,Brazil,RW,85
John Stones,England,CB,85
Diogo Jota,Portugal,CF,85
Kieran Trippier,England,RB,85
Raphaël Varane,France,CB,85
Florian Wirtz,Germany,CAM,85
Thiago,Spain,CM,84
Ismaël Bennacer,Algeria,CDM,84
Julian Brandt,Germany,CAM,84
Yannick Carrasco,Belgium,LM,84
Federico Chiesa,Italy,LM,84
Thiago Silva,Brazil,CB,84
Rúben Neves,Portugal,CDM,84
Rodrigo Javier De Paul,Argentina,CM,84
Memphis Depay,Holland,CF,84
Moussa Diaby,France,RM,84
Raphinha,Brazil,RW,84
Luis Díaz,Colombia,LW,84
Gabriel,Brazil,CB,84
Gabriel Jesus,Brazil,ST,84
Matthias Ginter,Germany,CB,84
Serge Gnabry,Germany,RM,84
Grimaldo,Spain,LWB,84
Bruno Guimarães,Brazil,CM,84
Achraf Hakimi,Morocco,RB,84
Fabinho,Brazil,CDM,84
Lucas Hernández,France,CB,84
Pierre-Emile Højbjerg,Denmark,CDM,84
Reece James,England,RB,84
Kim Min Jae,Korea Republic,CB,84
Randal Kolo Muani,France,ST,84
Kalidou Koulibaly,Senegal,CB,84
