Name,Position,Overall
Kylian Mbappé,ST,91
Erling Haaland,ST,91
Kevin De Bruyne,CM,91
Lionel Messi,CF,90
Karim Benzema,CF,90
Harry Kane,ST,90
Robert Lewandowski,ST,90
Mohamed Salah,RW,89
Rúben Dias,CB,89
Vini Jr.,LW,89
Rodri,CDM,89
Neymar Jr,LW,89
Virgil van Dijk,CB,89
Casemiro,CDM,89
Bruno Fernandes,CAM,88
Antoine Griezmann,ST,88
Victor Osimhen,ST,88
Bernardo Silva,CM,88
Federico Valverde,CM,88
Joshua Kimmich,CDM,88
Luka Modrić,CM,87
Frenkie de Jong,CM,87
Lautaro Martínez,ST,87
Martin Ødegaard,CAM,87
Marquinhos,CB,87
Heung Min Son,LW,87
Ousmane Dembélé,RW,86
Bukayo Saka,RW,86
Jude Bellingham,CM,86
Rafael Leão,LW,86
Pedri,CM,86
Matthijs de Ligt,CB,86
Sandro Tonali,CDM,86
Riyad Mahrez,RM,86
Jamal Musiala,CAM,86
Nicolò Barella,CM,86
Ronald Araujo,CB,86
Paulo Dybala,CF,86
İlkay Gündoğan,CM,86
Sergej Milinković-Savić,CM,86
Khvicha Kvaratskhelia,LW,86
Andrew Robertson,LB,86
Parejo,CM,86
Sadio Mané,CF,86
Toni Kroos,CM,86
Éder Militão,CB,86
