Name,Nation,Club,Position,Age,Overall
Kylian Mbappé,France,Paris SG,ST,24,91
Erling Haaland,Norway,Manchester City,ST,23,91
Kevin De Bruyne,Belgium,Manchester City,CM,32,91
Lionel Messi,Argentina,Inter Miami CF,CF,36,90
Karim Benzema,France,Al Ittihad,CF,35,90
Harry Kane,England,FC Bayern München,ST,30,90
Robert Lewandowski,Poland,FC Barcelona,ST,35,90
Mohamed Salah,Egypt,Liverpool,RW,31,89
Rúben Dias,Portugal,Manchester City,CB,26,89
Vini Jr.,Brazil,Real Madrid,LW,23,89
Rodri,Spain,Manchester City,CDM,27,89
Neymar Jr,Brazil,Al Hilal,LW,31,89
Virgil van Dijk,Holland,Liverpool,CB,32,89
Casemiro,Brazil,Manchester Utd,CDM,31,89
Bruno Fernandes,Portugal,Manchester Utd,CAM,29,88
Antoine Griezmann,France,Atlético de Madrid,ST,32,88
Victor Osimhen,Nigeria,Napoli FC,ST,24,88
Bernardo Silva,Portugal,Manchester City,CM,29,88
Federico Valverde,Uruguay,Real Madrid,CM,25,88
Joshua Kimmich,Germany,FC Bayern München,CDM,28,88
Luka Modrić,Croatia,Real Madrid,CM,38,87
Frenkie de Jong,Holland,FC Barcelona,CM,26,87
Lautaro Martínez,Argentina,Inter,ST,26,87
Martin Ødegaard,Norway,Arsenal,CAM,24,87
Marquinhos,Brazil,Paris SG,CB,29,87
Heung Min Son,Korea Republic,Spurs,LW,31,87
Ousmane Dembélé,France,Paris SG,RW,26,86
Bukayo Saka,England,Arsenal,RW,22,86
Jude Bellingham,England,Real Madrid,CM,20,86
Rafael Leão,Portugal,Milan,LW,24,86
Pedri,Spain,FC Barcelona,CM,20,86
Matthijs de Ligt,Holland,FC Bayern München,CB,24,86
Sandro Tonali,Italy,Newcastle Utd,CDM,23,86
Riyad Mahrez,Algeria,Al Ahli,RM,32,86
Jamal Musiala,Germany,FC Bayern München,CAM,20,86
Nicolò Barella,Italy,Inter,CM,26,86
Ronald Araujo,Uruguay,FC Barcelona,CB,24,86
Paulo Dybala,Argentina,Roma FC,CF,29,86
İlkay Gündoğan,Germany,FC Barcelona,CM,32,86
Sergej Milinković-Savić,Serbia,Al Hilal,CM,28,86
Khvicha Kvaratskhelia,Georgia,Napoli FC,LW,22,86
Andrew Robertson,Scotland,Liverpool,LB,29,86
Parejo,Spain,Villarreal CF,CM,34,86
Sadio Mané,Senegal,Al Nassr,CF,31,86
Toni Kroos,Germany,Real Madrid,CM,33,86
Éder Militão,Brazil,Real Madrid,CB,25,86
Christopher Nkunku,France,Chelsea,CF,25,86
N'Golo Kanté,France,Al Ittihad,CDM,32,86
João Cancelo,Portugal,FC Barcelona,LB,29,86
Cristiano Ronaldo,Portugal,Al Nassr,ST,38,86
Trent Alexander-Arnold,England,Liverpool,RB,25,86
Jack Grealish,England,Manchester City,LW,28,85
Marcos Acuña,Argentina,Sevilla FC,LB,31,85
David Alaba,Austria,Real Madrid,CB,31,85
Iago Aspas,Spain,RC Celta,ST,36,85
Alessandro Bastoni,Italy,Inter,CB,24,85
Domenico Berardi,Italy,Sassuolo,RW,29,85
Hakan Çalhanoğlu,Turkey,Inter,CM,29,85
Kingsley Coman,France,FC Bayern München,LM,27,85
Giovanni Di Lorenzo,Italy,Napoli FC,RB,30,85
Phil Foden,England,Manchester City,LW,23,85
Leon Goretzka,Germany,FC Bayern München,CM,28,85
Theo Hernández,France,Milan,LB,26,85
Ciro Immobile,Italy,Latium,ST,33,85
Jules Koundé,France,FC Barcelona,CB,24,85
Aymeric Laporte,Spain,Al Nassr,CB,29,85
Thomas Partey,Ghana,Arsenal,CDM,30,85
Marcus Rashford,England,Manchester Utd,LW,25,85
Declan Rice,England,Arsenal,CDM,24,85
Antonio Rüdiger,Germany,Real Madrid,CB,30,85
Rodrygo,Brazil,Real Madrid,RW,22,85
John Stones,England,Manchester City,CB,29,85
Diogo Jota,Portugal,Liverpool,CF,26,85
Kieran Trippier,England,Newcastle Utd,RB,33,85
Raphaël Varane,France,Manchester Utd,CB,30,85
Florian Wirtz,Germany,Leverkusen,CAM,20,85
Thiago,Spain,Liverpool,CM,32,84
Ismaël Bennacer,Algeria,Milan,CDM,25,84
Julian Brandt,Germany,Borussia Dortmund,CAM,27,84
Yannick Carrasco,Belgium,Al Shabab,LM,30,84
Federico Chiesa,Italy,Juventus,LM,25,84
Thiago Silva,Brazil,Chelsea,CB,39,84
Rúben Neves,Portugal,Al Hilal,CDM,26,84
Rodrigo Javier De Paul,Argentina,Atlético de Madrid,CM,29,84
Memphis Depay,Holland,Atlético de Madrid,CF,29,84
Moussa Diaby,France,Aston Villa,RM,24,84
Raphinha,Brazil,FC Barcelona,RW,26,84
Luis Díaz,Colombia,Liverpool,LW,26,84
Gabriel,Brazil,Arsenal,CB,25,84
Gabriel Jesus,Brazil,Arsenal,ST,26,84
Matthias Ginter,Germany,SC Freiburg,CB,29,84
Serge Gnabry,Germany,FC Bayern München,RM,28,84
Grimaldo,Spain,Leverkusen,LWB,28,84
Bruno Guimarães,Brazil,Newcastle Utd,CM,25,84
Achraf Hakimi,Morocco,Paris SG,RB,24,84
Fabinho,Brazil,Al Ittihad,CDM,29,84
Lucas Hernández,France,Paris SG,CB,27,84
Pierre-Emile Højbjerg,Denmark,Spurs,CDM,28,84
Reece James,England,Chelsea,RB,23,84
Kim Min Jae,Korea Republic,FC Bayern München,CB,26,84
Randal Kolo Muani,France,Paris SG,ST,24,84
Kalidou Koulibaly,Senegal,Al Hilal,CB,32,84
Marcos Llorente,Spain,Atlético de Madrid,RM,28,84
Stanislav Lobotka,Slovakia,Napoli FC,CM,28,84
Romelu Lukaku,Belgium,Roma FC,ST,30,84
James Maddison,England,Spurs,CAM,26,84
Gabriel Martinelli,Brazil,Arsenal,LW,22,84
Lisandro Martínez,Argentina,Manchester Utd,CB,25,84
Mikel Merino,Spain,Real Sociedad,CM,27,84
Thomas Müller,Germany,FC Bayern München,CAM,34,84
Adrien Rabiot,France,Juventus,CM,28,84
Koke,Spain,Atlético de Madrid,CDM,31,84
Luis Alberto,Spain,Latium,CM,31,84
Leroy Sané,Germany,FC Bayern München,RM,27,84
Bremer,Brazil,Juventus,CB,26,84
Milan Škriniar,Slovakia,Paris SG,CB,28,84
Chris Smalling,England,Roma FC,CB,33,84
Niklas Süle,Germany,Borussia Dortmund,CB,28,84
Aurélien Tchouaméni,France,Real Madrid,CDM,23,84
Fikayo Tomori,England,Milan,CB,25,84
Kyle Walker,England,Manchester City,RB,33,84
Francesco Acerbi,Italy,Inter,CB,35,83
Jordi Alba,Spain,Inter Miami CF,LB,34,83
Marco Asensio,Spain,Paris SG,RW,27,83
Wissam Ben Yedder,France,AS Monaco,ST,33,83
Sven Botman,Holland,Newcastle Utd,CB,23,83
Marcelo Brozović,Croatia,Al Nassr,CDM,30,83
Sergio Busquets,Spain,Inter Miami CF,CDM,35,83
Emre Can,Germany,Borussia Dortmund,CDM,29,83
Andreas Christensen,Denmark,FC Barcelona,CB,27,83
Sergi Darder,Spain,RCD Mallorca,CM,29,83
Alphonso Davies,Canada,FC Bayern München,LB,22,83
Ángel Di María,Argentina,SL Benfica,CF,35,83
Edin Džeko,Bosnia and Herzegovina,Fenerbahçe,ST,37,83
Christian Eriksen,Denmark,Manchester Utd,CM,31,83
Nabil Fekir,France,Real Betis,CAM,30,83
Enzo Fernández,Argentina,Chelsea,CM,22,83
Nacho Fernández,Spain,Real Madrid,CB,33,83
Rafa,Portugal,SL Benfica,CF,30,83
Jorginho,Italy,Arsenal,CDM,31,83
Pau Torres,Spain,Aston Villa,CB,26,83
Jeremie Frimpong,Holland,Leverkusen,RWB,22,83
Cody Gakpo,Holland,Liverpool,CF,24,83
José María Giménez,Uruguay,Atlético de Madrid,CB,28,83
Sébastien Haller,Côte d'Ivoire,Borussia Dortmund,ST,29,83
Jonas Hofmann,Germany,Leverkusen,CAM,31,83
Mats Hummels,Germany,Borussia Dortmund,CB,34,83
Borja Iglesias,Spain,Real Betis,ST,30,83
Filip Kostić,Serbia,Juventus,LM,30,83
Alexandre Lacazette,France,OL,ST,32,83
Konrad Laimer,Austria,FC Bayern München,CDM,26,83
Gianluca Mancini,Italy,Roma FC,CB,27,83
Morata,Spain,Atlético de Madrid,ST,30,83
Gerard Moreno,Spain,Villarreal CF,ST,31,83
Dani Olmo,Spain,RB Leipzig,CAM,25,83
Willi Orban,Hungary,RB Leipzig,CB,30,83
Oyarzabal,Spain,Real Sociedad,LM,26,83
Gavi,Spain,FC Barcelona,CM,19,83
Palhinha,Portugal,Fulham,CDM,28,83
Benjamin Pavard,France,Inter,CB,27,83
Lorenzo Pellegrini,Italy,Roma FC,CAM,27,83
Marco Reus,Germany,Borussia Dortmund,CAM,34,83
Guido Rodríguez,Argentina,Real Betis,CDM,28,83
Alessio Romagnoli,Italy,Latium,CB,28,83
William Saliba,France,Arsenal,CB,22,83
Patrik Schick,Czech Republic,Leverkusen,ST,27,83
Nico Schlotterbeck,Germany,Borussia Dortmund,CB,23,83
Luke Shaw,England,Manchester Utd,LB,28,83
Raheem Sterling,England,Chelsea,LW,28,83
Dušan Vlahović,Serbia,Juventus,ST,23,83
André-Franck Zambo Anguissa,Cameroon,Napoli FC,CDM,27,83
Piotr Zieliński,Poland,Napoli FC,CM,29,83
Manuel Akanji,Switzerland,Manchester City,CB,28,82
Robert Andrich,Germany,Leverkusen,CDM,29,82
Joelinton,Brazil,Newcastle Utd,CM,27,82
Roberto Firmino,Brazil,Al Ahli,CF,32,82
Rodrigo Bentancur,Uruguay,Spurs,CM,26,82
Eduardo Camavinga,France,Real Madrid,CDM,20,82
Carvajal,Spain,Real Madrid,RB,31,82
Ángel Correa,Argentina,Atlético de Madrid,ST,28,82
Ricardo Horta,Portugal,SC Braga,CAM,29,82
Otávio,Portugal,Al Nassr,RM,28,82
Stefan de Vrij,Holland,Inter,CB,31,82
Boulaye Dia,Senegal,Salernitana,ST,26,82
Federico Dimarco,Italy,Inter,LWB,25,82
Youssef En-Nesyri,Morocco,Sevilla FC,ST,26,82
Seko Fofana,Côte d'Ivoire,Al Nassr,CM,28,82
Javi Galán,Spain,Atlético de Madrid,LB,28,82
David García,Spain,CA Osasuna,CB,29,82
Gayà,Spain,Valencia CF,LB,28,82
Olivier Giroud,France,Milan,ST,37,82
Mario Götze,Germany,Frankfurt,CAM,31,82
Vincenzo Grifo,Italy,SC Freiburg,LM,30,82
Raphaël Guerreiro,Portugal,FC Bayern München,LB,29,82
Joško Gvardiol,Croatia,Manchester City,CB,21,82
Kai Havertz,Germany,Arsenal,CAM,24,82
Mario Hermoso,Spain,Atlético de Madrid,CB,28,82
Franck Yannick Kessié,Côte d'Ivoire,Al Ahli,CDM,26,82
Presnel Kimpembe,France,Paris SG,CB,28,82
Orkun Kökçü,Turkey,SL Benfica,CM,22,82
Mateo Kovačić,Croatia,Manchester City,CM,29,82
Robin Le Normand,Spain,Real Sociedad,CB,26,82
Thomas Lemar,France,Atlético de Madrid,CM,27,82
Manuel Locatelli,Italy,Juventus,CDM,25,82
Alexis Mac Allister,Argentina,Liverpool,CM,24,82
Donyell Malen,Holland,Borussia Dortmund,RM,24,82
Iñigo Martínez,Spain,FC Barcelona,CB,32,82
Joselu,Spain,Real Madrid,ST,33,82
Noussair Mazraoui,Morocco,FC Bayern München,RB,25,82
Ferland Mendy,France,Real Madrid,LB,28,82
Nahuel Molina,Argentina,Atlético de Madrid,RB,25,82
João Mário,Portugal,SL Benfica,RM,30,82
Darwin Núñez,Uruguay,Liverpool,ST,24,82
Loïs Openda,Belgium,RB Leipzig,ST,23,82
Nicolás Otamendi,Argentina,SL Benfica,CB,35,82
Isi Palazón,Spain,Rayo Vallecano,RM,28,82
Pedro Gonçalves,Portugal,Sporting CP,LW,25,82
Fernando,Brazil,Sevilla FC,CDM,36,82
Cristian Romero,Argentina,Spurs,CB,25,82
Jadon Sancho,England,Manchester Utd,LW,23,82
Stefan Savić,Montenegro,Atlético de Madrid,CB,32,82
Fabian Schär,Switzerland,Newcastle Utd,CB,31,82
Dominik Szoboszlai,Hungary,Liverpool,CAM,22,82
Dušan Tadić,Serbia,Fenerbahçe,LW,34,82
Mehdi Taremi,Iran,FC Porto,ST,31,82
Nuno Mendes,Portugal,Paris SG,LB,21,82
Youri Tielemans,Belgium,Aston Villa,CM,26,82
Lucas Torreira,Uruguay,Galatasaray,CDM,27,82
Ferran Torres,Spain,FC Barcelona,LW,23,82
Viktor Tsygankov,Ukraine,Girona FC,RM,25,82
Enes Ünal,Turkey,Getafe CF,ST,26,82
Dayot Upamecano,France,FC Bayern München,CB,24,82
Timo Werner,Germany,RB Leipzig,ST,27,82
Callum Wilson,England,Newcastle Utd,ST,31,82
Granit Xhaka,Switzerland,Leverkusen,CM,31,82
Mattia Zaccagni,Italy,Latium,LW,28,82
Nathan Aké,Holland,Manchester City,CB,28,81
Ali Al Musrati,Libya,SC Braga,CDM,27,81
Raúl Albiol,Spain,Villarreal CF,CB,38,81
Toby Alderweireld,Belgium,Royal Antwerp FC,CB,34,81
