Name,Nation,Position,Overall
Kylian Mbappé,France,ST,91
Erling Haaland,Norway,ST,91
Harry Kane,England,ST,90
Robert Lewandowski,Poland,ST,90
Victor Osimhen,Nigeria,ST,88
Antoine Griezmann,France,ST,88
Lautaro Martínez,Argentina,ST,87
Cristiano Ronaldo,Portugal,ST,86
Ciro Immobile,Italy,ST,85
Iago Aspas,Spain,ST,85
Randal Kolo Muani,France,ST,84
Romelu Lukaku,Belgium,ST,84
Gabriel Jesus,Brazil,ST,84
Alexandre Lacazette,France,ST,83
Morata,Spain,ST,83
Gerard Moreno,Spain,ST,83
Patrik Schick,Czech Republic,ST,83
Dušan Vlahović,Serbia,ST,83
Borja Iglesias,Spain,ST,83
Edin Džeko,Bosnia and Herzegovina,ST,83
Lionel Messi,Argentina,CF,90
Karim Benzema,France,CF,90
Sadio Mané,Senegal,CF,86
Christopher Nkunku,France,CF,86
Paulo Dybala,Argentina,CF,86
Diogo Jota,Portugal,CF,85
Memphis Depay,Holland,CF,84
Ángel Di María,Argentina,CF,83
Cody Gakpo,Holland,CF,83
Rafa,Portugal,CF,83
Roberto Firmino,Brazil,CF,82
Dries Mertens,Belgium,CF,81
Leandro Trossard,Belgium,CF,81
Anderson Talisca,Brazil,CF,81
Andrej Kramarić,Croatia,CF,81
João Félix,Portugal,CF,81
Hany Mukhtar,Germany,CF,80
Deulofeu,Spain,CF,80
Giacomo Raspadori,Italy,CF,79
Antonio Candreva,Italy,CF,79
Rodri,Spain,CDM,89
Casemiro,Brazil,CDM,89
Joshua Kimmich,Germany,CDM,88
N'Golo Kanté,France,CDM,86
Sandro Tonali,Italy,CDM,86
Thomas Partey,Ghana,CDM,85
Declan Rice,England,CDM,85
Koke,Spain,CDM,84
Aurélien Tchouaméni,France,CDM,84
Pierre-Emile Højbjerg,Denmark,CDM,84
Kevin De Bruyne,Belgium,CM,91
Bernardo Silva,Portugal,CM,88
Federico Valverde,Uruguay,CM,88
Luka Modrić,Croatia,CM,87
Frenkie de Jong,Holland,CM,87
Parejo,Spain,CM,86
Toni Kroos,Germany,CM,86
Sergej Milinković-Savić,Serbia,CM,86
İlkay Gündoğan,Germany,CM,86
Pedri,Spain,CM,86
Bruno Fernandes,Portugal,CAM,88
Martin Ødegaard,Norway,CAM,87
Jamal Musiala,Germany,CAM,86
Florian Wirtz,Germany,CAM,85
Thomas Müller,Germany,CAM,84
James Maddison,England,CAM,84
Julian Brandt,Germany,CAM,84
Lorenzo Pellegrini,Italy,CAM,83
Dani Olmo,Spain,CAM,83
Marco Reus,Germany,CAM,83
Riyad Mahrez,Algeria,RM,86
Marcos Llorente,Spain,RM,84
Leroy Sané,Germany,RM,84
Moussa Diaby,France,RM,84
Serge Gnabry,Germany,RM,84
Isi Palazón,Spain,RM,82
João Mário,Portugal,RM,82
Viktor Tsygankov,Ukraine,RM,82
Donyell Malen,Holland,RM,82
Otávio,Portugal,RM,82
Mohamed Salah,Egypt,RW,89
Bukayo Saka,England,RW,86
Ousmane Dembélé,France,RW,86
Rodrygo,Brazil,RW,85
Domenico Berardi,Italy,RW,85
Raphinha,Brazil,RW,84
Marco Asensio,Spain,RW,83
Matteo Politano,Italy,RW,81
Felipe Anderson,Brazil,RW,81
Hirving Lozano,Mexico,RW,81
Kingsley Coman,France,LM,85
Yannick Carrasco,Belgium,LM,84
Federico Chiesa,Italy,LM,84
Oyarzabal,Spain,LM,83
Filip Kostić,Serbia,LM,83
Vincenzo Grifo,Italy,LM,82
Allan Saint-Maximin,France,LM,81
Martin Terrier,France,LM,81
Kaoru Mitoma,Japan,LM,80
Álex Berenguer,Spain,LM,80
Vini Jr.,Brazil,LW,89
Neymar Jr,Brazil,LW,89
