Name,Club,Position,Overall
Kylian Mbappé,Paris SG,ST,91
Erling Haaland,Manchester City,ST,91
Lionel Messi,Inter Miami CF,CF,90
Karim Benzema,Al Ittihad,CF,90
Harry Kane,FC Bayern München,ST,90
Robert Lewandowski,FC Barcelona,ST,90
Mohamed Salah,Liverpool,RW,89
Vini Jr.,Real Madrid,LW,89
Neymar Jr,Al Hilal,LW,89
Victor Osimhen,Napoli FC,ST,88
Antoine Griezmann,Atlético de Madrid,ST,88
Kevin De Bruyne,Manchester City,CM,91
Rodri,Manchester City,CDM,89
Casemiro,Manchester Utd,CDM,89
Bernardo Silva,Manchester City,CM,88
Federico Valverde,Real Madrid,CM,88
Joshua Kimmich,FC Bayern München,CDM,88
Bruno Fernandes,Manchester Utd,CAM,88
Luka Modrić,Real Madrid,CM,87
Frenkie de Jong,FC Barcelona,CM,87
Martin Ødegaard,Arsenal,CAM,87
Parejo,Villarreal CF,CM,86
Rúben Dias,Manchester City,CB,89
Virgil van Dijk,Liverpool,CB,89
Marquinhos,Paris SG,CB,87
Éder Militão,Real Madrid,CB,86
Matthijs de Ligt,FC Bayern München,CB,86
Ronald Araujo,FC Barcelona,CB,86
Antonio Rüdiger,Real Madrid,CB,85
Aymeric Laporte,Al Nassr,CB,85
John Stones,Manchester City,CB,85
Raphaël Varane,Manchester Utd,CB,85
Jules Koundé,FC Barcelona,CB,85
Andrew Robertson,Liverpool,LB,86
João Cancelo,FC Barcelona,LB,86
Theo Hernández,Milan,LB,85
Marcos Acuña,Sevilla FC,LB,85
Luke Shaw,Manchester Utd,LB,83
Trent Alexander-Arnold,Liverpool,RB,86
Kieran Trippier,Newcastle Utd,RB,85
Giovanni Di Lorenzo,Napoli FC,RB,85
Reece James,Chelsea,RB,84
Kyle Walker,Manchester City,RB,84
